,Slave,Func,Adr,#Reg,Format,Name,Draw,Low,High,Setting
TRUE,1,3,43520,1,uint,%Battery Node 10,,,,
TRUE,1,3,41219,1,uint,Status Node 1,,,,
TRUE,1,3,41475,1,uint,Status Node 2,,,,
TRUE,1,3,41731,1,uint,Status Node 3,,,,
TRUE,1,3,41987,1,uint,Status Node 4,,,,
TRUE,1,3,42243,1,uint,Status Node 5,,,,
TRUE,1,3,42499,1,uint,Status Node 6,,,,
TRUE,1,3,42755,1,uint,Status Node 7,,,,
TRUE,1,3,43011,1,uint,Status Node 8,,,,
TRUE,1,3,43267,1,uint,Status Node 9,,,,
TRUE,1,3,43523,1,uint,Status Node 10,,,,
TRUE,1,3,28,1,int,Data Status Node 1,,,,
TRUE,1,3,28,1,int,Data Status Node 2,,,,
TRUE,1,3,29,1,int,Data Status Node 3,,,,
TRUE,1,3,29,1,int,Data Status Node 4,,,,
TRUE,1,3,30,1,int,Data Status Node 5,,,,
TRUE,1,3,30,1,int,Data Status Node 6,,,,
TRUE,1,3,31,1,int,Data Status Node 7,,,,
TRUE,1,3,31,1,int,Data Status Node 8,,,,
TRUE,1,3,32,1,int,Data Status Node 9,,,,
TRUE,1,3,32,1,int,Data Status Node 10,,,,
TRUE,1,3,68,1,int,RF Signal of Node 1,,,,
TRUE,1,3,68,1,int,RF Signal of Node 2,,,,
TRUE,1,3,69,1,int,RF Signal of Node 3,,,,
TRUE,1,3,69,1,int,RF Signal of Node 4,,,,
TRUE,1,3,70,1,int,RF Signal of Node 5,,,,
TRUE,1,3,70,1,int,RF Signal of Node 6,,,,
TRUE,1,3,71,1,int,RF Signal of Node 7,,,,
TRUE,1,3,71,1,int,RF Signal of Node 8,,,,
TRUE,1,3,72,1,int,RF Signal of Node 9,,,,
TRUE,1,3,72,1,int,RF Signal of Node 10,,,,
TRUE,1,3,400,1,hex,Update_enable 1,,,,
TRUE,1,3,401,1,uint,Cycle_wakeup 1,,,,
TRUE,1,3,402,1,uint,Cycle_healthsta 1,,,,
TRUE,1,3,410,2,float,Delta_main 1,,,,
TRUE,1,3,412,2,float,Offset_main 1,,,,
TRUE,1,3,414,2,float,Offset_second 1,,,,
TRUE,1,3,430,1,hex,Update_enable 2,,,,
TRUE,1,3,431,1,uint,Cycle_wakeup 2,,,,
TRUE,1,3,432,1,uint,Cycle_healthsta 2,,,,
TRUE,1,3,440,2,float,Delta_main 2,,,,
TRUE,1,3,442,2,float,Offset_main 2,,,,
TRUE,1,3,444,2,float,Offset_second 2,,,,
TRUE,1,3,460,1,hex,Update_enable 3,,,,
TRUE,1,3,461,1,uint,Cycle_wakeup 3,,,,
TRUE,1,3,462,1,uint,Cycle_healthsta 3,,,,
TRUE,1,3,470,2,float,Delta_main 3,,,,
TRUE,1,3,472,2,float,Offset_main 3,,,,
TRUE,1,3,474,2,float,Offset_second 3,,,,
TRUE,1,3,490,1,hex,Update_enable 4,,,,
TRUE,1,3,491,1,uint,Cycle_wakeup 4,,,,
TRUE,1,3,492,1,uint,Cycle_healthsta 4,,,,
TRUE,1,3,500,2,float,Delta_main 4,,,,
TRUE,1,3,502,2,float,Offset_main 4,,,,
TRUE,1,3,504,2,float,Offset_second 4,,,,
TRUE,1,3,520,1,hex,Update_enable 5,,,,
TRUE,1,3,521,1,uint,Cycle_wakeup 5,,,,
TRUE,1,3,522,1,uint,Cycle_healthsta 5,,,,
TRUE,1,3,530,2,float,Delta_main 5,,,,
TRUE,1,3,532,2,float,Offset_main 5,,,,
TRUE,1,3,534,2,float,Offset_second 5,,,,
TRUE,1,3,550,1,hex,Update_enable 6,,,,
TRUE,1,3,551,1,uint,Cycle_wakeup 6,,,,
TRUE,1,3,552,1,uint,Cycle_healthsta 6,,,,
TRUE,1,3,560,2,float,Delta_main 6,,,,
TRUE,1,3,562,2,float,Offset_main 6,,,,
TRUE,1,3,564,2,float,Offset_second 6,,,,
TRUE,1,3,580,1,hex,Update_enable 7,,,,
TRUE,1,3,581,1,uint,Cycle_wakeup 7,,,,
TRUE,1,3,582,1,uint,Cycle_healthsta 7,,,,
TRUE,1,3,590,2,float,Delta_main 7,,,,
TRUE,1,3,592,2,float,Offset_main 7,,,,
TRUE,1,3,594,2,float,Offset_second 7,,,,
TRUE,1,3,610,1,hex,Update_enable 8,,,,
TRUE,1,3,611,1,uint,Cycle_wakeup 8,,,,
TRUE,1,3,612,1,uint,Cycle_healthsta 8,,,,
TRUE,1,3,620,2,float,Delta_main 8,,,,
TRUE,1,3,622,2,float,Offset_main 8 ,,,,
TRUE,1,3,624,2,float,Offset_second 8,,,,
TRUE,1,3,640,1,hex,Update_enable 9,,,,
TRUE,1,3,641,1,uint,Cycle_wakeup 9,,,,
TRUE,1,3,642,1,uint,Cycle_healthsta 9,,,,
TRUE,1,3,650,2,float,Delta_main 9,,,,
TRUE,1,3,652,2,float,Offset_main 9,,,,
TRUE,1,3,654,2,float,Offset_second 9,,,,
TRUE,1,3,670,1,hex,Update_enable 10,,,,
TRUE,1,3,671,1,uint,Cycle_wakeup 10,,,,
TRUE,1,3,672,1,uint,Cycle_healthsta 10,,,,
TRUE,1,3,680,2,float,Delta_main 10,,,,
TRUE,1,3,682,2,float,Offset_main 10,,,,
TRUE,1,3,684,2,float,Offset_second 10,,,,
